geocoding_id,canonical_address,normalized_address,geocoding_status,address_count
019ab7c7-2f1e-7373-6f4a-61120efff6c8,"10 S Dearborn Il1-0111, Chicago, Il, 60603","{""id"": 0, ""street"": ""10 S DEARBORN IL1-0111"", ""city"": ""CHICAGO"", ""state"": ""IL"", ""zip"": ""60603""}",No_Match,6061
019ab858-34c4-7826-7d8b-bafca98b9768,"500 First Ave P7-Pfsc-03-Z, Pittsburgh, Pa, 15219","{""id"": 0, ""street"": ""500 FIRST AVE P7-PFSC-03-Z"", ""city"": ""PITTSBURGH"", ""state"": ""PA"", ""zip"": ""15219""}",No_Match,5598
019ab7ca-aabd-7267-956e-f8c55a8bbc5c,"4900 Tiedeman Road Oh-01-49-0381, Brooklyn, Oh, 44144","{""id"": 0, ""street"": ""4900 TIEDEMAN ROAD OH-01-49-0381"", ""city"": ""BROOKLYN"", ""state"": ""OH"", ""zip"": ""44144""}",No_Match,1963
019ab3e0-364b-7e1c-91dd-6a3450d26d80,"5001 Angel Canyon Road, Kanab, Ut, 84741","{""id"": 0, ""street"": ""5001 ANGEL CANYON ROAD"", ""city"": ""KANAB"", ""state"": ""UT"", ""zip"": ""84741""}",No_Match,1618
019ab3e0-b7c6-7d09-a6b4-e1eacadc027c,"31 Evans Terminal, Hillside, Nj, 07205","{""id"": 0, ""street"": ""31 EVANS TERMINAL"", ""city"": ""HILLSIDE"", ""state"": ""NJ"", ""zip"": ""07205""}",No_Match,1532
019ab3e7-ff00-7158-edc9-2180aed371dc,"5001 Angel Canyon Rd, Kanab, Ut, 84741","{""id"": 0, ""street"": ""5001 ANGEL CANYON RD"", ""city"": ""KANAB"", ""state"": ""UT"", ""zip"": ""84741""}",No_Match,1318
019ab40f-1d55-7a9c-02e5-01ed548f8ec0,"3677 Mapleshade Lane, Plano, Tx, 75075","{""id"": 0, ""street"": ""3677 MAPLESHADE LANE"", ""city"": ""PLANO"", ""state"": ""TX"", ""zip"": ""75075""}",No_Match,1249
019ab7c7-315f-7081-4b1a-e75e6273eae4,"1 Billy Graham Parkway, Charlotte, Nc, 28201","{""id"": 0, ""street"": ""1 BILLY GRAHAM PARKWAY"", ""city"": ""CHARLOTTE"", ""state"": ""NC"", ""zip"": ""28201""}",No_Match,980
019ab3ea-8840-782e-44b4-e8270c5e5bfc,"36 Battery Place, New York, Ny, 10280","{""id"": 0, ""street"": ""36 BATTERY PLACE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10280""}",No_Match,906
019ab3ed-f415-7818-acd7-bc6f363166ec,"1619 D Street, Virginia Beach, Va, 23459","{""id"": 0, ""street"": ""1619 D STREET"", ""city"": ""VIRGINIA BEACH"", ""state"": ""VA"", ""zip"": ""23459""}",No_Match,906
019ab7c7-30d3-7095-4b93-fb5104f6ef40,"5905 Wilshire Blvd, Los Angeles, Ca, 90036","{""id"": 0, ""street"": ""5905 WILSHIRE BLVD"", ""city"": ""LOS ANGELES"", ""state"": ""CA"", ""zip"": ""90036""}",No_Match,860
